feature_name,cluster,mean_importance,std_importance
R_8bit_median,12,0.40332608930204294,0.4562029114313961
V_median,12,0.40332608930204294,0.4562029114313961
area_pixels,19,0.11651299209848029,0.15499764449415707
min_width,19,0.11651299209848029,0.15499764449415707
max_width,19,0.11651299209848029,0.15499764449415707
H_mean,19,0.11651299209848029,0.15499764449415707
hull_area,19,0.11651299209848029,0.15499764449415707
perimeter,19,0.11651299209848029,0.15499764449415707
rect_angle_deg,11,0.06302483817098707,0.07450673663598245
S_median,13,0.009656513905440551,0.031062468444278568
L_median,13,0.009656513905440551,0.031062468444278568
B_8bit_median,13,0.009656513905440551,0.031062468444278568
Gray_8bit_median,13,0.009656513905440551,0.031062468444278568
G_8bit_median,13,0.009656513905440551,0.031062468444278568
S_var,6,0.007139676176450708,0.04621488687063692
Gray_8bit_var,6,0.007139676176450708,0.04621488687063692
L_var,6,0.007139676176450708,0.04621488687063692
R_8bit_var,6,0.007139676176450708,0.04621488687063692
V_var,6,0.007139676176450708,0.04621488687063692
A_var,6,0.007139676176450708,0.04621488687063692
B_8bit_var,6,0.007139676176450708,0.04621488687063692
G_8bit_var,6,0.007139676176450708,0.04621488687063692
G_8bit_mean,8,0.002472045440610865,0.017506825519280914
Gray_8bit_mean,8,0.002472045440610865,0.017506825519280914
B_8bit_mean,8,0.002472045440610865,0.017506825519280914
S_mean,8,0.002472045440610865,0.017506825519280914
L_mean,8,0.002472045440610865,0.017506825519280914
LabB_median,10,0.0021572129742357658,0.005966475171811791
LabB_mean,10,0.0021572129742357658,0.005966475171811791
A_mean,5,0.0006697325110542251,0.0059925079531057196
H_var,5,0.0006697325110542251,0.0059925079531057196
A_min,5,0.0006697325110542251,0.0059925079531057196
A_median,4,0.00010558025346068326,0.0028103623669167663
H_median,4,0.00010558025346068326,0.0028103623669167663
contour_count,0,0.0,0.0
S_min,17,-0.0001335864662895611,0.00728526409636489
LabB_min,17,-0.0001335864662895611,0.00728526409636489
B_8bit_max,18,-0.0003755771577694933,0.0014653484909316792
Gray_8bit_max,16,-0.0014644867503392956,0.00983817905018731
G_8bit_max,16,-0.0014644867503392956,0.00983817905018731
L_max,16,-0.0014644867503392956,0.00983817905018731
LabB_var,14,-0.0017876166906986408,0.014112067605425407
R_8bit_max,15,-0.002501605291640028,0.008570280880607998
V_max,15,-0.002501605291640028,0.008570280880607998
A_max,1,-0.003824136829844591,0.015491005279231895
H_max,1,-0.003824136829844591,0.015491005279231895
H_min,1,-0.003824136829844591,0.015491005279231895
LabB_max,20,-0.003896843009481358,0.018050777010923315
V_min,2,-0.004988099088795074,0.007401402939529785
R_8bit_min,2,-0.004988099088795074,0.007401402939529785
circularity,9,-0.006856594543717,0.01048682328416138
solidity,9,-0.006856594543717,0.01048682328416138
R_8bit_mean,7,-0.008515497383646342,0.026132037419468342
V_mean,7,-0.008515497383646342,0.026132037419468342
S_max,3,-0.00910173708804527,0.024507275691398198
Gray_8bit_min,3,-0.00910173708804527,0.024507275691398198
L_min,3,-0.00910173708804527,0.024507275691398198
G_8bit_min,3,-0.00910173708804527,0.024507275691398198
B_8bit_min,3,-0.00910173708804527,0.024507275691398198
