trait_set,model,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_f1_macro,std_f1_macro,mean_auc_macro_ovr,std_auc_macro_ovr,view,mask_type,date
RGB,logistic,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,overhead,all,2024-12-21
RGB,lda,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,overhead,all,2024-12-21
RGB,lasso,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,overhead,all,2024-12-21
HSV,logistic,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,overhead,all,2024-12-21
HSV,lda,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,overhead,all,2024-12-21
HSV,lasso,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,overhead,all,2024-12-21
LAB,logistic,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,overhead,all,2024-12-21
LAB,lda,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,overhead,all,2024-12-21
LAB,lasso,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,overhead,all,2024-12-21
Grey,logistic,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,overhead,all,2024-12-21
Grey,lda,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,overhead,all,2024-12-21
Grey,lasso,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,overhead,all,2024-12-21
Ncolor,logistic,0.7666666666666667,0.19002923751652304,0.7666666666666666,0.19002923751652298,0.7619047619047619,0.19424836242258225,0.7777777777777778,0.23570226039551584,overhead,all,2024-12-21
Ncolor,lda,0.8,0.1394433377556793,0.8,0.13944333775567927,0.7897619047619047,0.14959222729513783,0.8444444444444444,0.21659542988464367,overhead,all,2024-12-21
Ncolor,lasso,0.7666666666666666,0.14907119849998599,0.7666666666666666,0.14907119849998599,0.7407142857142857,0.16964473683169154,0.7333333333333333,0.3201080064641763,overhead,all,2024-12-21
RGB,logistic,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,overhead,all,2024-12-22
RGB,lda,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,overhead,all,2024-12-22
