view,mask_type,date,mean_train_acc,std_train_acc,mean_test_acc,std_test_acc,mean_train_f1,mean_test_f1,std_test_f1
overhead,all,2024-12-21,0.975,0.022821773229381902,0.7333333333333333,0.09128709291752773,0.9749019607843138,0.7,0.12322818340454912
overhead,all,2024-12-22,0.975,0.0228217732293819,0.7666666666666667,0.09128709291752773,0.9749019607843138,0.76,0.0852012867230259
overhead,all,2024-12-23,0.9916666666666668,0.01863389981249823,0.7666666666666666,0.14907119849998599,0.9916339869281046,0.7644444444444444,0.14790721148705546
overhead,all,2024-12-24,1.0,0.0,0.8666666666666666,0.13944333775567927,1.0,0.8400000000000001,0.18216801361705956
overhead,all,2024-12-25,0.9833333333333334,0.0228217732293819,0.9,0.14907119849998599,0.9832679738562092,0.8977777777777778,0.15039043836167673
overhead,all,2024-12-26,1.0,0.0,0.8666666666666668,0.13944333775567927,1.0,0.8622222222222223,0.14089659985908765
overhead,all,2024-12-27,1.0,0.0,0.9,0.09128709291752767,1.0,0.8933333333333333,0.09737289911202948
overhead,all,2024-12-28,1.0,0.0,1.0,0.0,1.0,1.0,0.0
overhead,all,2024-12-29,1.0,0.0,1.0,0.0,1.0,1.0,0.0
overhead,all,2024-12-30,1.0,0.0,0.9333333333333333,0.09128709291752767,1.0,0.928888888888889,0.09737289911202948
overhead,all,2024-12-31,1.0,0.0,0.9333333333333333,0.09128709291752767,1.0,0.928888888888889,0.09737289911202948
overhead,new_growth,2024-12-21,0.9916666666666666,0.01863389981249823,0.6666666666666667,0.11785113019775793,0.9916339869281046,0.6644444444444445,0.10640012995443657
overhead,new_growth,2024-12-22,0.9666666666666666,0.01863389981249823,0.8666666666666668,0.07453559924999298,0.9665359477124182,0.857777777777778,0.07950463919999248
overhead,new_growth,2024-12-23,1.0,0.0,0.7666666666666667,0.19002923751652304,1.0,0.7444444444444445,0.20153730163574507
overhead,new_growth,2024-12-24,1.0,0.0,0.8333333333333334,0.11785113019775793,1.0,0.8266666666666668,0.11800816042090449
overhead,new_growth,2024-12-25,1.0,0.0,0.8333333333333334,0.11785113019775793,1.0,0.8266666666666668,0.11800816042090448
overhead,new_growth,2024-12-26,0.9916666666666668,0.01863389981249823,0.8666666666666666,0.13944333775567927,0.9916339869281046,0.8622222222222222,0.14089659985908762
overhead,new_growth,2024-12-27,1.0,0.0,0.8,0.13944333775567927,1.0,0.7933333333333333,0.14089659985908765
overhead,new_growth,2024-12-28,0.9916666666666666,0.01863389981249823,0.7,0.2472066162365221,0.9916339869281046,0.6688888888888889,0.2655532310451495
overhead,new_growth,2024-12-29,1.0,0.0,0.8666666666666666,0.13944333775567927,1.0,0.8622222222222222,0.14089659985908765
overhead,new_growth,2024-12-30,1.0,0.0,0.8666666666666668,0.13944333775567927,1.0,0.8600000000000001,0.14478592114899488
overhead,new_growth,2024-12-31,1.0,0.0,0.8,0.18257418583505536,1.0,0.7733333333333334,0.22244433344430573
raw,all,2024-12-21,0.9166666666666666,0.029462782549439494,0.7333333333333333,0.09128709291752772,0.9156364768129475,0.7244444444444444,0.08937367800973428
raw,all,2024-12-22,0.9666666666666668,0.05432668671002207,0.7666666666666666,0.09128709291752772,0.9663694366635542,0.76,0.0852012867230259
raw,all,2024-12-23,1.0,0.0,0.7666666666666667,0.09128709291752773,1.0,0.76,0.0852012867230259
raw,all,2024-12-24,1.0,0.0,0.9,0.09128709291752767,1.0,0.8933333333333333,0.09737289911202948
raw,all,2024-12-25,0.9833333333333334,0.022821773229381902,0.9333333333333333,0.09128709291752767,0.9832679738562092,0.928888888888889,0.0973728991120295
raw,all,2024-12-26,1.0,0.0,0.9666666666666668,0.07453559924999298,1.0,0.9644444444444445,0.0795046391999925
raw,all,2024-12-27,1.0,0.0,0.9333333333333333,0.09128709291752765,1.0,0.928888888888889,0.09737289911202948
raw,all,2024-12-28,1.0,0.0,1.0,0.0,1.0,1.0,0.0
raw,all,2024-12-29,1.0,0.0,1.0,0.0,1.0,1.0,0.0
raw,all,2024-12-30,1.0,0.0,1.0,0.0,1.0,1.0,0.0
raw,all,2024-12-31,1.0,0.0,1.0,0.0,1.0,1.0,0.0
raw,new_growth,2024-12-21,0.9416666666666667,0.06972166887783962,0.8333333333333334,0.11785113019775793,0.9422953625894802,0.8244444444444445,0.12181751176591772
raw,new_growth,2024-12-22,0.9833333333333334,0.022821773229381902,0.8,0.13944333775567927,0.9832679738562092,0.7911111111111111,0.14345817130292804
raw,new_growth,2024-12-23,1.0,0.0,0.6666666666666666,0.11785113019775793,1.0,0.6355555555555555,0.13388773627904066
raw,new_growth,2024-12-24,0.9666666666666668,0.034860834438919824,0.8333333333333334,0.11785113019775793,0.9666013071895424,0.8266666666666668,0.11800816042090449
raw,new_growth,2024-12-25,1.0,0.0,0.8,0.07453559924999302,1.0,0.7911111111111111,0.0695665592999935
raw,new_growth,2024-12-26,1.0,0.0,0.9333333333333333,0.09128709291752767,1.0,0.928888888888889,0.09737289911202948
raw,new_growth,2024-12-27,1.0,0.0,0.9666666666666668,0.07453559924999298,1.0,0.9644444444444445,0.0795046391999925
