"Fungal.Strain","Nitrogen.Level","Replication","Exp","Sort","Plate.Info"
"FG","N-100",1,"MV.003",22,"22_FG_N-100_1_MV.003"
"FG","N-100",2,"MV.003",25,"25_FG_N-100_2_MV.003"
"FG","N-100",3,"MV.003",24,"24_FG_N-100_3_MV.003"
"FG","N-100",4,"MV.003",23,"23_FG_N-100_4_MV.003"
"FG","N-100",5,"MV.003",21,"21_FG_N-100_5_MV.003"
"FG","N-10",1,"MV.003",4," 4_FG_N-10_1_MV.003"
"FG","N-10",2,"MV.003",8," 8_FG_N-10_2_MV.003"
"FG","N-10",3,"MV.003",1," 1_FG_N-10_3_MV.003"
"FG","N-10",4,"MV.003",18,"18_FG_N-10_4_MV.003"
"FG","N-10",5,"MV.003",20,"20_FG_N-10_5_MV.003"
"FG","N-1",1,"MV.003",13,"13_FG_N-1_1_MV.003"
"FG","N-1",2,"MV.003",3," 3_FG_N-1_2_MV.003"
"FG","N-1",3,"MV.003",5," 5_FG_N-1_3_MV.003"
"FG","N-1",4,"MV.003",11,"11_FG_N-1_4_MV.003"
"FG","N-1",5,"MV.003",12,"12_FG_N-1_5_MV.003"
"LE","N-100",1,"MV.003",2," 2_LE_N-100_1_MV.003"
"LE","N-100",2,"MV.003",26,"26_LE_N-100_2_MV.003"
"LE","N-100",3,"MV.003",30,"30_LE_N-100_3_MV.003"
"LE","N-100",4,"MV.003",29,"29_LE_N-100_4_MV.003"
"LE","N-100",5,"MV.003",14,"14_LE_N-100_5_MV.003"
"LE","N-10",1,"MV.003",15,"15_LE_N-10_1_MV.003"
"LE","N-10",2,"MV.003",7," 7_LE_N-10_2_MV.003"
"LE","N-10",3,"MV.003",16,"16_LE_N-10_3_MV.003"
"LE","N-10",4,"MV.003",28,"28_LE_N-10_4_MV.003"
"LE","N-10",5,"MV.003",27,"27_LE_N-10_5_MV.003"
"LE","N-1",1,"MV.003",10,"10_LE_N-1_1_MV.003"
"LE","N-1",2,"MV.003",19,"19_LE_N-1_2_MV.003"
"LE","N-1",3,"MV.003",17,"17_LE_N-1_3_MV.003"
"LE","N-1",4,"MV.003",6," 6_LE_N-1_4_MV.003"
"LE","N-1",5,"MV.003",9," 9_LE_N-1_5_MV.003"
